system:index,date,groundwater_anomaly,system_time,.geo
20150411_20150510,2015-04-11,-4.361377021619245,1.4287104E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150628_20150730,2015-06-28,-0.008527518930288911,1.4354496E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150731_20150830,2015-07-31,-0.49341622842629923,1.4383008E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150831_20150926,2015-08-31,-2.805168425351029,1.4409792E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151210_20160102,2015-12-10,-9.059398126015585,1.4497056E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160103_20160127,2016-01-03,-8.548927559721937,1.4517792E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160128_20160228,2016-01-28,-7.770118527518787,1.4539392E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160229_20160330,2016-02-29,-6.10406995295352,1.456704E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160508_20160530,2016-05-08,-4.194627503817607,1.4626656E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160531_20160629,2016-05-31,-7.2591301081988195,1.4646528E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160630_20160728,2016-06-30,-6.788290429866444,1.4672448E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160807_20160902,2016-08-07,-1.9789609834335993,1.470528E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20161113_20161209,2016-11-13,-11.121505479416982,1.4789952E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20161210_20170105,2016-12-10,-14.3047501365084,1.481328E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170106_20170202,2017-01-06,-9.50283060162581,1.4836608E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170316_20170413,2017-03-16,-5.105634497828634,1.4896224E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170409_20170507,2017-04-09,-7.718460248243204,1.491696E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170501_20170521,2017-05-01,-8.780856643060144,1.4935968E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170522_20170628,2017-05-22,-8.635573098567594,1.4954112E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
